Date,Merchant,Amount
1/1/24,Apple Services,7.99
1/2/24,Apple Services,11.06
1/3/24,Apple Services,4.99
1/3/24,Apple Services,79.99
1/4/24,Apple Services,9.99
1/4/24,Zephyr Lodge,69.33
1/8/24,Spotify,19.23
1/9/24,LabCorp,3.19
1/14/24,Peacock 1174f Premium,6.78
1/19/24,Apple Services,8.85
1/21/24,Apple Services,14.19
1/21/24,Ryanair 86x0,105.98
1/21/24,Ryanair Bsl0,66.92
1/25/24,Pmt*Vehicle Tag Renew,186.6
1/30/24,Ach Deposit Internet Transfer From Account Ending In 7661,-156.88
1/31/24,Monthly Installments (22 Of 24),22.04
2/1/24,Apple Services,7.99
2/1/24,Apple Services,39.99
2/2/24,Apple Services,11.3
2/3/24,Apple Services,4.99
2/4/24,Apple Services,9.99
2/8/24,Spotify,19.23
2/9/24,Apple Services,9.04
2/14/24,Peacock 3067c Premium,6.78
2/18/24,Ryanair Bsl0,48.51
2/20/24,Plushcare,132.24
2/20/24,Plushcare 101 Mission Stsuite 800 San Francisco94105 Ca Usa (dispute Credit),-132.24
2/20/24,Plushcare 101 Mission Stsuite 800 San Francisco94105 Ca Usa (dispute Reversal),132.24
2/21/24,Apple Services,14.19
2/29/24,Monthly Installments (23 Of 24),22.04
3/1/24,Ach Deposit Internet Transfer From Account Ending In 7661,-47.04
3/1/24,Interest (credit),-0.53
3/1/24,Interest Charge,9.73
3/2/24,Apple Services,7.99
3/2/24,Apple Services,11.3
3/2/24,GoPro,49.99
3/2/24,Gopro.com/subscription3000 Clearview Way San Mateo 94402 Ca Usa (dispute Credit),-49.99
3/4/24,Apple Services,9.99
3/5/24,Apple Services,4.99
3/8/24,Spotify,19.23
3/9/24,Apple Services,9.04
3/9/24,Apple Services,35.99
3/14/24,Peacock 7db61 Premium,6.78
3/18/24,Apple Services,49.99
3/20/24,Apple Services,14.99
3/21/24,Apple Services,14.19
3/29/24,Spirit Airlines,20
3/31/24,Monthly Installments (24 Of 24),22.08
4/1/24,Ach Deposit Internet Transfer From Account Ending In 7661,-46.51
4/1/24,Apple Services,21.99
4/1/24,Interest Charge,11.99
4/2/24,Apple Services,4.99
4/2/24,Apple Services,11.3
4/4/24,Apple Services,9.99
4/8/24,Aliexpress,167.74
4/8/24,Bikefit Dwayne,69.55
4/8/24,Spotify,19.23
4/12/24,Apple Services,7.99
4/12/24,Apple Services,23.99
4/14/24,Peacock 0118d Premium,6.78
4/14/24,Publix,31.28
4/14/24,Total Wine & More,3.2
4/14/24,Total Wine & More,69.51
4/20/24,Apple Services,14.99
4/21/24,Apple Services,14.19
4/28/24,BMW,119
4/30/24,Ach Deposit Internet Transfer From Account Ending In 7661,-965.38
5/1/24,Apple Services,4.99
5/1/24,Apple Services,23.99
5/1/24,Interest Charge,12.21
5/2/24,Apple Services,11.3
5/4/24,Apple Services,9.99
5/6/24,V Shred Llc,124
5/8/24,Spotify,19.23
5/10/24,Daily Cash Adjustment,0.5
5/12/24,Apple Services,7.99
5/14/24,Apple Services,4.52
5/14/24,Peacock 543d2 Premium,6.78
5/18/24,Apple Services,14.99
5/19/24,Our Lady Of Guadalupe,10
5/19/24,Our Lady Of Guadalupe,30
5/21/24,Apple Services,14.19
5/22/24,Ssp*Doral Charter Scho,103
