source_text,original_description,cleaned_description,prefill_merchant_in_csv,local_provider,local_direction,local_counterparty,local_pick_merchant,local_is_unknown,server_provider,server_direction,server_counterparty,server_prefill_merchant,server_ai_merchant,server_final_decision,final_decision,decision_source
"ONLINE PAYMENT, THANK YOU",,,Transfers,unknown,,,Thank You,0,,,,,,,Thank You,local
SUNPASS*ACC613078 888-865-5352 FL S385224834925042,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
ZELLE TO BIJANI TATIANA ON 08/13 BALANCE GASTOS DE VIAJE A ESPANA,,,Zelle,zelle,to,BIJANI TATIANA ON 08,Zelle To BIJANI TATIANA ON 08,0,,,,,,,Zelle To BIJANI TATIANA ON 08,local
OPENAI              SAN FRANCISCO,,,OpenAI,unknown,,,Openai San Francisco,0,,,,,,,Openai San Francisco,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
BMW BANK BMWFS PYMT 250811,,,Moto,unknown,,,Bmw Bank Bmwfs Pymt,0,,,,,,,Bmw Bank Bmwfs Pymt,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
NATURXHEAL FAMILY PHAR DORAL,,,Naturxheal,unknown,,,Naturxheal Family Phar Doral,0,,,,,,,Naturxheal Family Phar Doral,local
aliexpress San Mateo,,,AliExpress,unknown,,,Aliexpress San Mateo,0,,,,,,,Aliexpress San Mateo,local
NETFLIX.COM NETFLIX.COM CA S585221471210775,,,Netflix,unknown,,,Netflix.Com Netflix.Com Ca,0,,,,,,,Netflix.Com Netflix.Com Ca,local
PUBLIX SUPER MAR 10755 NW DORAL FL P305224033482627,,,Publix,unknown,,,Publix Super Mar Nw,0,,,,,,,Publix Super Mar Nw,local
ZELLE FROM JORGE PEREZ ON 08/09 REF # JBJ0CY0GIIK3,,,Zelle,zelle,from,JORGE PEREZ ON 08,Zelle From JORGE PEREZ ON 08,0,,,,,,,Zelle From JORGE PEREZ ON 08,local
ZELLE FROM SOLARTE ALFREDO ON 08/09 REF # PP0Z559N34,,,Zelle,zelle,from,SOLARTE ALFREDO ON 08,Zelle From SOLARTE ALFREDO ON 08,0,,,,,,,Zelle From SOLARTE ALFREDO ON 08,local
